id,name,current_url,category,risk_level,verification_advice,status,correct_list_url,verified_selectors,notes
46,国家数据（统计局数据发布库）,https://data.stats.gov.cn,宏观经济与贸易统计,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
47,中国政府网,https://www.gov.cn,法规政策,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
48,商务部,https://www.mofcom.gov.cn,法规政策,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
49,国家能源局,https://www.nea.gov.cn,法规政策,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
50,国家统计局,https://www.stats.gov.cn,宏观经济与贸易统计,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
51,国家外汇管理局,https://www.safe.gov.cn,宏观经济与贸易统计,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
52,"商务部""走出去""公共服务平台",https://fec.mofcom.gov.cn,全球贸易投资流向,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
53,中国出口管制信息网,http://exportcontrol.mofcom.gov.cn,技术与出口管制,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
54,国家金融监督管理总局,https://www.nfra.gov.cn,金融与融资服务,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
55,中国人民银行,https://www.pbc.gov.cn,金融与融资服务,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
56,中国证监会,https://www.csrc.gov.cn,金融与融资服务,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
57,中国政府采购网,https://www.ccgp.gov.cn,需求与对接库,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
58,全国公共资源交易平台,https://www.ggzy.gov.cn,需求与对接库,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
59,中央政府采购网,https://www.zycg.gov.cn,需求与对接库,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
60,全国一体化政务服务平台（国家政务服务平台）,https://www.gjzwfw.gov.cn,服务事项与办件库,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
61,广东省政务服务网,https://www.gdzwfw.gov.cn,服务事项与办件库,高,"1. 找到正确的「新闻/政策发布」列表页URL（非首页）
2. 检查是否需要特定User-Agent
3. 注意访问频率限制",待验证,,,
62,莫斯科开放数据门户（data.mos.ru）,https://data.mos.ru,地方产业底数库,中,"1. 国际网站需确认国内网络可访问
2. 找到英文版新闻列表页
3. 注意时区和日期格式差异",待验证,,,
63,德国联邦汽车运输管理局（KBA）,https://www.kba.de,市场统计,中,"1. 国际网站需确认国内网络可访问
2. 找到英文版新闻列表页
3. 注意时区和日期格式差异",待验证,,,
64,挪威统计局（SSB）,https://www.ssb.no,市场统计,中,"1. 国际网站需确认国内网络可访问
2. 找到英文版新闻列表页
3. 注意时区和日期格式差异",待验证,,,
65,EUR-Lex（欧盟法律数据库）,https://eur-lex.europa.eu,法律合规与知识产权,中,"1. 国际网站需确认国内网络可访问
2. 找到英文版新闻列表页
3. 注意时区和日期格式差异",待验证,,,
66,欧洲环境署（EEA）,https://www.eea.europa.eu,市场统计,中,"1. 国际网站需确认国内网络可访问
2. 找到英文版新闻列表页
3. 注意时区和日期格式差异",待验证,,,
67,韩国关税厅（KCS）,https://www.customs.go.kr,宏观经济与贸易统计,低,"1. 验证list_url是否为正确的新闻列表页
2. 在浏览器检查元素中测试选择器
3. 确认是否需要登录/注册",待验证,,,
68,IEC TC 69（电动车充电技术委员会）,https://www.iec.ch/dyn/www/f?p=103:22:0::::FSP_ORG_ID:1255,法规政策,低,"1. 验证list_url是否为正确的新闻列表页
2. 在浏览器检查元素中测试选择器
3. 确认是否需要登录/注册",待验证,,,
