文章ID,标题,来源,推断相关度,推断标签,需要人工校验
2,索通发展股份有限公司关于投资建设蒸汽集中供应与节能炭材料项目暨签署《增资协议》的公告,巨潮资讯网,industry,G2.L1.06:中国,否
6,山东步长制药股份有限公司关于控股子公司签订技术服务（委托）合同补充协议的公告,巨潮资讯网,unrelated,G2.L1.06:中国,是
7,关于控股股东签署《股份转让协议》暨控制权拟发生变更的提示性公告,巨潮资讯网,unrelated,G2.L1.06:中国,是
10,澳大利亚对涉华焊缝管启动第三次双反日落复审调查,商务部中国WTO通报咨询网,industry,G2.L1.06:中国,否
12,工业和信息化部关于印发《民用爆炸物品行业安全发展“十五五”规划》的通知,工业和信息化部,unrelated,G11.L1.01:标准法规,是
14,一图读懂《安全应急装备产业发展“十五五”规划》,工业和信息化部,industry,G11.L1.01:标准法规,否
16,一图读懂《民用爆炸物品行业安全发展“十五五”规划》,工业和信息化部,unrelated,G11.L1.01:标准法规,是
17,《民用爆炸物品行业安全发展“十五五”规划》解读,工业和信息化部,unrelated,G11.L1.01:标准法规,是
18,一图读懂《关于组织开展2026年度重点行业能效、碳效领跑者企业推荐工作的通知》,工业和信息化部,unrelated,G11.L1.01:标准法规,是
20,交通运输部关于公布公路工程监理企业资质许可决定的公告,交通运输部,unrelated,G2.L1.06:中国,是
21,交通运输部关于发布《内河虚拟航标设计规范》的公告,交通运输部,industry,G11.L1.01:标准法规,否
23,殡葬领域明码标价规定（试行）,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
24,商品条码管理办法,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
25,商业秘密保护规定,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
26,重点液态食品道路散装运输准运管理办法,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
27,网络餐饮服务经营者落实食品安全主体责任监督管理规定,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
53,2026北京车展今日盛大开幕！,中国国际贸易促进委员会汽车行业分会,unrelated,G4.L1.01:整车出口,是
91,全新坦克300亮相成都车展 用户共创计划同步开启,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
92,“9系”阵营，再扩容,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
93,3元一条小红书，车展到底有多少“真热度”？,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
94,放弃路虎标之后，神行者8靠什么订单破万？,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G9.L1.02:销量数据",否
95,韩国科学技术院研发新型MOF电极材料 巧用质子实现水系锌离子电池高容量快速充放电,盖世汽车资讯,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
96,内浜化成联合立邦汽车涂料研发模内涂装技术 削减碳排放并实现汽车外饰件特殊视觉效果,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
97,格拉斯哥大学研发AR虚拟代理预警方案 借助社交肢体线索提升条件自动驾驶车辆危险提示效果,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
98,从Grok到豆包，特斯拉中国“换脑”,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
99,九家车企因门把手隐患集中召回 总量逾427万辆,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
100,晓莺说|企业想快、员工怕变、政府求稳：欧洲汽车的内生矛盾,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
101,晓莺说|大众为什么在欧洲宁愿关厂，也不愿打价格战？,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
102,WRC 2026 | 蓝点触控携全系列机器人力传感器及五大场景化Demo亮相,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
103,一套不透明的“安全证明”：特斯拉FSD闯关欧洲，商业机密能否遮住公共风险？,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
104,出海3.0，拼生态更要拼文化认同,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G4.L1.01:整车出口",否
105,蔚来第三代ES8完成第14万台交付，李斌：大型SUV纯电时代已到来,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G9.L1.02:销量数据",否
106,2026成都车展｜艾尼氪V开启预售，11.99万元起,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
107,2026成都车展｜上汽大众宣言“不做速成车”，ID. ERA 5S 上市8.99万起,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
108,MIT发明新型预训练方法GeoPT 使人工智能模型可以模拟更广泛的现实世界场景,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
109,DGIST开发出低复杂度接收器技术 使车辆系统在高速行驶过程中探测物体并交换数据,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
110,受蜜蜂启发 康斯坦茨大学发明新算法帮助机器人集群达成共识,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
111,英国拨款2800万英镑！支持长时储能技术发展,北极星储能网-国际栏目,industry,G12.L1.01:NEV核心,否
113,工业和信息化部关于印发《民用爆炸物品行业安全发展“十五五”规划》的通知,工业和信息化部,unrelated,G11.L1.01:标准法规,是
115,一图读懂《安全应急装备产业发展“十五五”规划》,工业和信息化部,industry,G11.L1.01:标准法规,否
117,一图读懂《民用爆炸物品行业安全发展“十五五”规划》,工业和信息化部,unrelated,G11.L1.01:标准法规,是
118,《民用爆炸物品行业安全发展“十五五”规划》解读,工业和信息化部,unrelated,G11.L1.01:标准法规,是
119,一图读懂《关于组织开展2026年度重点行业能效、碳效领跑者企业推荐工作的通知》,工业和信息化部,unrelated,G11.L1.01:标准法规,是
121,交通运输部关于公布公路工程监理企业资质许可决定的公告,交通运输部,unrelated,G2.L1.06:中国,是
122,交通运输部关于发布《内河虚拟航标设计规范》的公告,交通运输部,industry,G11.L1.01:标准法规,否
124,殡葬领域明码标价规定（试行）,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
125,商品条码管理办法,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
126,商业秘密保护规定,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
127,重点液态食品道路散装运输准运管理办法,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
128,网络餐饮服务经营者落实食品安全主体责任监督管理规定,国家市场监督管理总局,unrelated,G11.L1.01:标准法规,是
154,2026北京车展今日盛大开幕！,中国国际贸易促进委员会汽车行业分会,unrelated,G4.L1.01:整车出口,是
192,全新坦克300亮相成都车展 用户共创计划同步开启,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
193,“9系”阵营，再扩容,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
194,3元一条小红书，车展到底有多少“真热度”？,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
195,放弃路虎标之后，神行者8靠什么订单破万？,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G9.L1.02:销量数据",否
196,韩国科学技术院研发新型MOF电极材料 巧用质子实现水系锌离子电池高容量快速充放电,盖世汽车资讯,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
197,内浜化成联合立邦汽车涂料研发模内涂装技术 削减碳排放并实现汽车外饰件特殊视觉效果,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
198,格拉斯哥大学研发AR虚拟代理预警方案 借助社交肢体线索提升条件自动驾驶车辆危险提示效果,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
199,从Grok到豆包，特斯拉中国“换脑”,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
200,九家车企因门把手隐患集中召回 总量逾427万辆,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
201,晓莺说|企业想快、员工怕变、政府求稳：欧洲汽车的内生矛盾,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
202,晓莺说|大众为什么在欧洲宁愿关厂，也不愿打价格战？,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
203,WRC 2026 | 蓝点触控携全系列机器人力传感器及五大场景化Demo亮相,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
204,一套不透明的“安全证明”：特斯拉FSD闯关欧洲，商业机密能否遮住公共风险？,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
